Sede	Código.	Descripción de Materia	Modalidad	Periodo	Grupo	Profesor	HORARIO
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1106	Comunicación escrita	SEMESTRE	2	2	ROMERO ALVAREZ ERICKA	MAR[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1106	Comunicación escrita	SEMESTRE	2	3	RIOS SANCHEZ ARMANDO	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1106	Comunicación escrita	SEMESTRE	2	4	AMADOR SOLANO GABRIELA	JUE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1106	Comunicación escrita	SEMESTRE	2	5	VARGAS CASTRO ERICKA	MIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	1	CASTILLO RODRIGUEZ LARISSA	LUN[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	2	PEREZ ROJAS NELSON	LUN[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	3	CASTILLO RODRIGUEZ LARISSA	LUN[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	4	MORALES SOLANO PAOLA NATALIA	LUN[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	5	CASTILLO RODRIGUEZ LARISSA	MAR[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	6	MORALES GARAY SARAY	MAR[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	7	AMADOR SOLANO GABRIELA	MAR[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	8	CASTILLO RODRIGUEZ LARISSA	MAR[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	9	SHILTAGH PRADA DIMITRI	MAR[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	10	CASTILLO RODRIGUEZ LARISSA	MAR[16:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	11	SHILTAGH PRADA DIMITRI	MAR[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	12	CASTILLO RODRIGUEZ LARISSA	MIE[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	13	RIOS SANCHEZ ARMANDO	MIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	14	SHILTAGH PRADA DIMITRI	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	15	RODRIGUEZ HERRA NATALIA	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	16	SANCHEZ SANCHEZ DANIELA	MIE[16:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	17	RODRIGUEZ HERRA NATALIA	MIE[17:00-19:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	18	SHILTAGH PRADA DIMITRI	MIE[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	19	MORALES GARAY SARAY	JUE[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	20	ROMERO ALVAREZ ERICKA	JUE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	21	PEREZ ROJAS NELSON	JUE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	22	SHILTAGH PRADA DIMITRI	JUE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	23	ROMERO ALVAREZ ERICKA	JUE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	24	SOLANO MORAGA SIGRID	JUE[15:00-17:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	25	MORALES SOLANO PAOLA NATALIA	JUE[17:00-19:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	26	ARCE FUENTES JOSE DANIEL	JUE[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	27	MORALES GARAY SARAY	VIE[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	28	AMADOR SOLANO GABRIELA	VIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	29	SHILTAGH PRADA DIMITRI	VIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	30	ARCE FUENTES JOSE DANIEL	VIE[17:00-19:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	31	GOMEZ MONTOYA CAROLINA	VIE[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	32	MORALES SOLANO PAOLA NATALIA	VIE[16:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1107	Comunicación oral	SEMESTRE	2	33	ROMERO ALVAREZ ERICKA	VIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	1	BRENES ROJAS LEONARDO	LUN[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	2	ALBERTAZZI OSORIO SONIA	MAR[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	3	HERRERA JIMENEZ INGRID	MAR[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	4	MOLINA VILLALOBOS TANIA	JUE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	5	SOLANO SOLANO JOSE EDUARDO	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	6	GUILLEN JIMENEZ LUIS DIEGO	MAR[15:00-17:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	7	RAMIREZ CASTRO MONSERRAT	MIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	8	GOMEZ MONTOYA CARLOS ANDRES	MIE[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	9	ALBERTAZZI OSORIO SONIA	JUE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	10	GOMEZ MONTOYA CARLOS ANDRES	JUE[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1230	Inglés I	SEMESTRE	2	11	SOLANO SOLANO JOSE EDUARDO	VIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	1	SOLANO OBANDO MABEL	LUN[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	2	HERRERA JIMENEZ INGRID	LUN[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	3	KENNEDY RUSSELL ANA	MAR[07:30-10:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	4	ALBERTAZZI OSORIO SONIA	MAR[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	5	GOMEZ MONTOYA CARLOS ANDRES	MAR[18:00-20:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	6	SOLANO OBANDO MABEL	MIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	7	SOLANO OBANDO MABEL	JUE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	8	VALLECILLO ALFARO JOHANNY	VIE[09:30-12:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	9	VALLECILLO ALFARO JOHANNY	VIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	10	SOLANO OBANDO MABEL	MIE[16:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CI1231	Inglés II	SEMESTRE	2	11	FUENTES MORA ESTEBAN	MIE[13:00-15:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM2103	Termodinámica	SEMESTRE	2	1	BENAVIDES RAMIREZ WILLIAM JESUS	JUE[13:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM2401	Metalurgia física	SEMESTRE	2	1	VARGAS GOMEZ RODRIGO DAVID	MIE[07:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM2402	Laboratorio de metalurgia física	SEMESTRE	2	1	GONZALEZ MASIS JEIMY	MAR[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM2402	Laboratorio de metalurgia física	SEMESTRE	2	2	CORRALES BRENES REBECA	MAR[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM2402	Laboratorio de metalurgia física	SEMESTRE	2	3	BENAVIDES RAMIREZ WILLIAM JESUS	MAR[16:00-17:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM2402	Laboratorio de metalurgia física	SEMESTRE	2	4	GONZALEZ HERNANDEZ EDUARDO	VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CM3103	Termodinámica de materiales	SEMESTRE	2	1	RODRIGUEZ ROJAS ALFREDO	JUE[07:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CS1502	Introducción a la técnica ciencia y tecnología	SEMESTRE	2	1	ORTIZ ACUÑA LEONARDO	JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CS1502	Introducción a la técnica ciencia y tecnología	SEMESTRE	2	2	BOJORGE MURILLO ALEXANDER	MIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CS1502	Introducción a la técnica ciencia y tecnología	SEMESTRE	2	3	BOJORGE MURILLO ALEXANDER	MIE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CS1502	Introducción a la técnica ciencia y tecnología	SEMESTRE	2	4	BOJORGE MURILLO ALEXANDER	MAR[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	CS1502	Introducción a la técnica ciencia y tecnología	SEMESTRE	2	5	GARRO REYES MAURICIO	MIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	1	MURILLO SALAZAR DENNIS	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	2	MURILLO ZUMBADO GUSTAVO	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	3	PINEDA LIZANO JUAN JOSE	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	4	ELIZONDO ZUÑIGA JENNIFER	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	5	ELIZONDO ZUÑIGA JENNIFER	MAR[13:00-14:50] JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	6	VARGAS BLANCO IVAN	MAR[13:00-14:50] JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	7	PINEDA LIZANO JUAN JOSE	MAR[15:00-16:50] JUE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	8	CORRALES QUESADA ESTEBAN	MAR[15:00-16:50] JUE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	9	CORRALES QUESADA ESTEBAN	MAR[17:00-18:50] JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	11	MOYA SERRANO ROY DAVID	MIE[07:30-09:20] VIE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	13	CAMBRONERO CORDERO MICHAEL	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	14	MONTERO ZELEDON ERNESTO	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	15	SEGURA ZARATE ANA YANCY	MIE[13:00-14:50] VIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	17	ROJAS PEREZ FRANCISCO	MIE[15:00-16:50] VIE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	18	SEGURA ZARATE ANA YANCY	MIE[17:00-18:50] VIE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	19	ROJAS PEREZ FRANCISCO	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1101	Física general I	SEMESTRE	2	20	SEGURA ZARATE ANA YANCY	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	1	LOBO ZAMORA JUAN CARLOS	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	2	VARGAS BLANCO IVAN	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	3	AMADOR JARA ALVARO	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	4	PINEDA LIZANO JUAN JOSE	MAR[13:00-14:50] JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	5	PINEDA LIZANO JUAN JOSE	MAR[17:00-18:50] JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	6	MURILLO ZUMBADO GUSTAVO	MIE[07:30-09:20] VIE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	7	PEREZ HIDALGO JOSE ESTEBAN	MIE[09:30-11:20] VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	8	OREAMUNO MADRIZ RAFAEL	MIE[13:00-14:50] VIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	9	CORRALES QUESADA ESTEBAN	MIE[15:00-16:50] VIE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	10	SOTO CHINCHILLA YERRY	MAR[07:30-09:20] JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1102	Física general II	SEMESTRE	2	11	MURILLO ZUMBADO GUSTAVO	MAR[09:30-11:20] JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	1	SEVILLA QUESADA EVAR	MAR[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	2	JIMENEZ CARBALLO CARLOS ADRIAN	MAR[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	3	CAMPOS RODRIGUEZ MELANIA	MAR[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	4	CAMPOS RODRIGUEZ MELANIA	MAR[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	5	SEGURA CARVAJAL MARCOS	MAR[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	6	PEREZ HIDALGO JOSE ESTEBAN	MIE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	7	JIMENEZ CARBALLO CARLOS ADRIAN	MIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	8	MAYORGA ESPINOZA CARLOS	MIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	9	SEGURA CARVAJAL MARCOS	MIE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	10	CORRALES QUESADA ESTEBAN	MIE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	11	ALFARO ALVARADO JOSE ABRAHAN	JUE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	12	MONTERO ZELEDON ERNESTO	JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	14	MORALES MUÑOZ WALTER	JUE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	15	SEGURA CARVAJAL MARCOS	JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	16	MORALES MUÑOZ WALTER	VIE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	17	MORALES MUÑOZ WALTER	VIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	18	CORRALES QUESADA ESTEBAN	VIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	19	SOLANO PIEDRA RICARDO ADOLFO	MAR[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	22	ELIZONDO ZUÑIGA JENNIFER	MIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	23	CAMBRONERO CORDERO MICHAEL	MIE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	24	CAMBRONERO CORDERO MICHAEL	MIE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	25	SOLANO PIEDRA RICARDO ADOLFO	JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	26	MORALES MUÑOZ WALTER	JUE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	27	ALFARO ALVARADO JOSE ABRAHAN	JUE[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1201	Laboratorio física general I	SEMESTRE	2	29	OREAMUNO MADRIZ RAFAEL	MAR[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	1	ARAYA SOLANO LUIS ALONSO	MAR[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	2	ARAYA SOLANO LUIS ALONSO	MAR[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	3	SEVILLA QUESADA EVAR	MAR[17:00-18:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	4	JIMENEZ CARBALLO CARLOS ADRIAN	MIE[07:30-09:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	5	MURILLO ZUMBADO GUSTAVO	MIE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	6	OREAMUNO MADRIZ RAFAEL	MIE[15:00-16:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	7	MORALES MUÑOZ WALTER	JUE[09:30-11:20]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	8	MORALES MUÑOZ WALTER	VIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	FI1202	Laboratorio física general II	SEMESTRE	2	9	ROJAS ROJAS LAURA	MIE[13:00-14:50]
CAMPUS TECNOLOGICO CENTRAL CARTAGO	MA0101	Matemática general	SEMESTRE	2	1	SOLIS PALMA ANGIE	MAR[07:30-10:20] JUE[07:30-09:20]
